game_id,season,week,home_team,away_team,home_score,away_score,home_win
2025_11_SEA_LA,2025,11,LA,SEA,21.0,19.0,1
2025_11_SF_ARI,2025,11,ARI,SF,22.0,41.0,0
2025_11_TB_BUF,2025,11,BUF,TB,44.0,32.0,1
2025_11_WAS_MIA,2025,11,MIA,WAS,16.0,13.0,1
2025_12_ATL_NO,2025,12,NO,ATL,10.0,24.0,0
2025_12_BUF_HOU,2025,12,HOU,BUF,23.0,19.0,1
2025_12_CAR_SF,2025,12,SF,CAR,20.0,9.0,1
2025_12_CLE_LV,2025,12,LV,CLE,10.0,24.0,0
2025_12_IND_KC,2025,12,KC,IND,23.0,20.0,1
2025_12_JAX_ARI,2025,12,ARI,JAX,24.0,27.0,0
2025_12_MIN_GB,2025,12,GB,MIN,23.0,6.0,1
2025_12_NE_CIN,2025,12,CIN,NE,20.0,26.0,0
2025_12_NYG_DET,2025,12,DET,NYG,34.0,27.0,1
2025_12_NYJ_BAL,2025,12,BAL,NYJ,23.0,10.0,1
2025_12_PHI_DAL,2025,12,DAL,PHI,24.0,21.0,1
2025_12_PIT_CHI,2025,12,CHI,PIT,31.0,28.0,1
2025_12_SEA_TEN,2025,12,TEN,SEA,24.0,30.0,0
2025_12_TB_LA,2025,12,LA,TB,34.0,7.0,1
2025_13_ARI_TB,2025,13,TB,ARI,20.0,17.0,1
2025_13_ATL_NYJ,2025,13,NYJ,ATL,27.0,24.0,1
2025_13_BUF_PIT,2025,13,PIT,BUF,7.0,26.0,0
2025_13_CHI_PHI,2025,13,PHI,CHI,15.0,24.0,0
2025_13_CIN_BAL,2025,13,BAL,CIN,14.0,32.0,0
2025_13_DEN_WAS,2025,13,WAS,DEN,26.0,27.0,0
2025_13_GB_DET,2025,13,DET,GB,24.0,31.0,0
2025_13_HOU_IND,2025,13,IND,HOU,16.0,20.0,0
2025_13_JAX_TEN,2025,13,TEN,JAX,3.0,25.0,0
2025_13_KC_DAL,2025,13,DAL,KC,31.0,28.0,1
2025_13_LA_CAR,2025,13,CAR,LA,31.0,28.0,1
2025_13_LV_LAC,2025,13,LAC,LV,31.0,14.0,1
2025_13_MIN_SEA,2025,13,SEA,MIN,26.0,0.0,1
2025_13_NO_MIA,2025,13,MIA,NO,21.0,17.0,1
2025_13_NYG_NE,2025,13,NE,NYG,33.0,15.0,1
2025_13_SF_CLE,2025,13,CLE,SF,8.0,26.0,0
2025_14_CHI_GB,2025,14,GB,CHI,28.0,21.0,1
2025_14_CIN_BUF,2025,14,BUF,CIN,39.0,34.0,1
2025_14_DAL_DET,2025,14,DET,DAL,44.0,30.0,1
2025_14_DEN_LV,2025,14,LV,DEN,17.0,24.0,0
2025_14_HOU_KC,2025,14,KC,HOU,10.0,20.0,0
2025_14_IND_JAX,2025,14,JAX,IND,36.0,19.0,1
2025_14_LA_ARI,2025,14,ARI,LA,17.0,45.0,0
2025_14_MIA_NYJ,2025,14,NYJ,MIA,10.0,34.0,0
2025_14_NO_TB,2025,14,TB,NO,20.0,24.0,0
2025_14_PHI_LAC,2025,14,LAC,PHI,22.0,19.0,1
2025_14_PIT_BAL,2025,14,BAL,PIT,22.0,27.0,0
2025_14_SEA_ATL,2025,14,ATL,SEA,9.0,37.0,0
2025_14_TEN_CLE,2025,14,CLE,TEN,29.0,31.0,0
2025_14_WAS_MIN,2025,14,MIN,WAS,31.0,0.0,1
2025_15_ARI_HOU,2025,15,HOU,ARI,40.0,20.0,1
2025_15_ATL_TB,2025,15,TB,ATL,28.0,29.0,0
2025_15_BAL_CIN,2025,15,CIN,BAL,0.0,24.0,0
2025_15_BUF_NE,2025,15,NE,BUF,31.0,35.0,0
2025_15_CAR_NO,2025,15,NO,CAR,20.0,17.0,1
2025_15_CLE_CHI,2025,15,CHI,CLE,31.0,3.0,1
2025_15_DET_LA,2025,15,LA,DET,41.0,34.0,1
2025_15_GB_DEN,2025,15,DEN,GB,34.0,26.0,1
2025_15_IND_SEA,2025,15,SEA,IND,18.0,16.0,1
2025_15_LAC_KC,2025,15,KC,LAC,13.0,16.0,0
2025_15_LV_PHI,2025,15,PHI,LV,31.0,0.0,1
2025_15_MIA_PIT,2025,15,PIT,MIA,28.0,15.0,1
2025_15_MIN_DAL,2025,15,DAL,MIN,26.0,34.0,0
2025_15_NYJ_JAX,2025,15,JAX,NYJ,48.0,20.0,1
2025_15_TEN_SF,2025,15,SF,TEN,37.0,24.0,1
2025_15_WAS_NYG,2025,15,NYG,WAS,21.0,29.0,0
2025_16_ATL_ARI,2025,16,ARI,ATL,19.0,26.0,0
2025_16_BUF_CLE,2025,16,CLE,BUF,20.0,23.0,0
2025_16_CIN_MIA,2025,16,MIA,CIN,21.0,45.0,0
2025_16_GB_CHI,2025,16,CHI,GB,22.0,16.0,1
2025_16_JAX_DEN,2025,16,DEN,JAX,20.0,34.0,0
2025_16_KC_TEN,2025,16,TEN,KC,26.0,9.0,1
2025_16_LAC_DAL,2025,16,DAL,LAC,17.0,34.0,0
2025_16_LA_SEA,2025,16,SEA,LA,38.0,37.0,1
2025_16_LV_HOU,2025,16,HOU,LV,23.0,21.0,1
2025_16_MIN_NYG,2025,16,NYG,MIN,13.0,16.0,0
2025_16_NE_BAL,2025,16,BAL,NE,24.0,28.0,0
2025_16_NYJ_NO,2025,16,NO,NYJ,29.0,6.0,1
2025_16_PHI_WAS,2025,16,WAS,PHI,18.0,29.0,0
2025_16_PIT_DET,2025,16,DET,PIT,24.0,29.0,0
2025_16_SF_IND,2025,16,IND,SF,27.0,48.0,0
2025_16_TB_CAR,2025,16,CAR,TB,23.0,20.0,1
