game_id,season,week,home_team,away_team,home_score,away_score,home_win,home_team_avg_points_for,home_team_avg_points_against,away_team_avg_points_for,away_team_avg_points_against
2022_10_WAS_PHI,2022,10,PHI,WAS,21,32,0,28.125,16.875,17.666666666666668,21.333333333333332
2022_11_CAR_BAL,2022,11,BAL,CAR,13,3,1,26.11111111111111,21.77777777777778,20.4,24.3
2022_11_CHI_ATL,2022,11,ATL,CHI,27,24,1,23.2,25.0,21.7,24.7
2022_11_CIN_PIT,2022,11,PIT,CIN,30,37,0,15.555555555555555,23.0,25.333333333333332,20.555555555555557
2022_11_CLE_BUF,2022,11,BUF,CLE,31,23,1,27.77777777777778,16.77777777777778,24.11111111111111,26.444444444444443
2022_11_DAL_MIN,2022,11,MIN,DAL,3,40,0,25.11111111111111,21.22222222222222,23.444444444444443,18.22222222222222
2022_11_DET_NYG,2022,11,NYG,DET,18,31,0,20.77777777777778,19.22222222222222,24.333333333333332,29.333333333333332
2022_11_KC_LAC,2022,11,LAC,KC,27,30,0,22.22222222222222,25.333333333333332,30.0,22.88888888888889
2022_11_LA_NO,2022,11,NO,LA,27,20,1,22.2,24.7,16.444444444444443,22.22222222222222
2022_11_LV_DEN,2022,11,DEN,LV,16,22,0,14.555555555555555,16.555555555555557,22.555555555555557,25.11111111111111
2022_11_NYJ_NE,2022,11,NE,NYJ,10,3,1,22.555555555555557,18.444444444444443,21.77777777777778,19.555555555555557
2022_11_PHI_IND,2022,11,IND,PHI,16,17,0,15.7,20.3,27.333333333333332,18.555555555555557
2022_11_SF_ARI,2022,11,ARI,SF,10,38,0,23.0,25.8,22.0,18.11111111111111
2022_11_TEN_GB,2022,11,GB,TEN,17,27,0,18.5,21.6,18.444444444444443,18.666666666666668
2022_11_WAS_HOU,2022,11,HOU,WAS,10,23,0,16.555555555555557,23.0,19.1,21.3
2022_12_ATL_WAS,2022,12,WAS,ATL,19,13,1,19.454545454545453,20.272727272727273,23.545454545454547,24.90909090909091
2022_12_BAL_JAX,2022,12,JAX,BAL,28,27,1,21.6,20.5,24.8,19.9
2022_12_BUF_DET,2022,12,DET,BUF,25,28,0,25.0,28.2,28.1,17.4
2022_12_CHI_NYJ,2022,12,NYJ,CHI,31,10,1,19.9,18.6,21.90909090909091,24.90909090909091
2022_12_CIN_TEN,2022,12,TEN,CIN,16,20,0,19.3,18.5,26.5,21.5
2022_12_DEN_CAR,2022,12,CAR,DEN,23,10,1,18.818181818181817,23.272727272727273,14.7,17.1
2022_12_GB_PHI,2022,12,PHI,GB,40,33,1,26.3,18.3,18.363636363636363,22.09090909090909
2022_12_HOU_MIA,2022,12,MIA,HOU,30,15,1,25.2,24.1,15.9,23.0
2022_12_LAC_ARI,2022,12,ARI,LAC,24,25,0,21.818181818181817,26.90909090909091,22.7,25.8
2022_12_LA_KC,2022,12,KC,LA,26,10,1,30.0,23.3,16.8,22.7
2022_12_LV_SEA,2022,12,SEA,LV,34,40,0,25.7,24.1,22.5,24.2
2022_12_NE_MIN,2022,12,MIN,NE,33,26,1,22.9,23.1,21.3,16.9
2022_12_NO_SF,2022,12,SF,NO,13,0,1,23.6,17.3,22.636363636363637,24.272727272727273
2022_12_NYG_DAL,2022,12,DAL,NYG,28,20,1,25.1,16.7,20.5,20.4
2022_12_PIT_IND,2022,12,IND,PIT,17,24,0,15.727272727272727,20.0,17.0,24.4
2022_12_TB_CLE,2022,12,CLE,TB,23,17,1,24.0,26.9,18.3,18.0
2022_13_BUF_NE,2022,13,NE,BUF,10,24,0,21.727272727272727,18.363636363636363,28.09090909090909,18.09090909090909
2022_13_CLE_HOU,2022,13,HOU,CLE,14,27,0,15.818181818181818,23.636363636363637,23.90909090909091,26.0
2022_13_DEN_BAL,2022,13,BAL,DEN,10,9,1,25.0,20.636363636363637,14.272727272727273,17.636363636363637
2022_13_GB_CHI,2022,13,CHI,GB,19,28,0,20.916666666666668,25.416666666666668,19.583333333333332,23.583333333333332
2022_13_IND_DAL,2022,13,DAL,IND,54,19,1,25.363636363636363,17.0,15.833333333333334,20.333333333333332
2022_13_JAX_DET,2022,13,DET,JAX,40,14,1,25.0,28.181818181818183,22.181818181818183,21.09090909090909
2022_13_KC_CIN,2022,13,CIN,KC,27,24,1,25.90909090909091,21.0,29.636363636363637,22.09090909090909
2022_13_LAC_LV,2022,13,LV,LAC,27,20,1,24.09090909090909,25.09090909090909,22.90909090909091,25.636363636363637
2022_13_MIA_SF,2022,13,SF,MIA,33,17,1,22.636363636363637,15.727272727272727,25.636363636363637,23.272727272727273
2022_13_NO_TB,2022,13,TB,NO,17,16,1,18.181818181818183,18.454545454545453,20.75,23.333333333333332
2022_13_NYJ_MIN,2022,13,MIN,NYJ,27,22,1,23.818181818181817,23.363636363636363,20.90909090909091,17.818181818181817
2022_13_PIT_ATL,2022,13,ATL,PIT,16,19,0,22.666666666666668,24.416666666666668,17.636363636363637,23.727272727272727
2022_13_SEA_LA,2022,13,LA,SEA,23,27,0,16.181818181818183,23.0,26.454545454545453,25.545454545454547
2022_13_TEN_PHI,2022,13,PHI,TEN,35,10,1,27.545454545454547,19.636363636363637,19.0,18.636363636363637
2022_13_WAS_NYG,2022,13,NYG,WAS,20,20,0,20.454545454545453,21.09090909090909,19.416666666666668,19.666666666666668
2022_14_BAL_PIT,2022,14,PIT,BAL,14,16,0,17.75,23.083333333333332,23.75,19.666666666666668
2022_14_CAR_SEA,2022,14,SEA,CAR,24,30,0,26.5,25.333333333333332,19.166666666666668,22.166666666666668
2022_14_CLE_CIN,2022,14,CIN,CLE,23,10,1,26.0,21.25,24.166666666666668,25.0
2022_14_HOU_DAL,2022,14,DAL,HOU,27,23,1,27.75,17.166666666666668,15.666666666666666,23.916666666666668
2022_14_JAX_TEN,2022,14,TEN,JAX,22,36,0,18.25,20.0,21.5,22.666666666666668
2022_14_KC_DEN,2022,14,DEN,KC,28,34,0,13.833333333333334,17.0,29.166666666666668,22.5
2022_14_LV_LA,2022,14,LA,LV,17,16,1,16.75,23.333333333333332,24.333333333333332,24.666666666666668
2022_14_MIA_LAC,2022,14,LAC,MIA,23,17,1,22.666666666666668,25.75,24.916666666666668,24.083333333333332
2022_14_MIN_DET,2022,14,DET,MIN,34,23,1,26.25,27.0,24.083333333333332,23.25
2022_14_NE_ARI,2022,14,ARI,NE,13,27,0,22.0,26.75,20.75,18.833333333333332
2022_14_NYJ_BUF,2022,14,BUF,NYJ,20,12,1,27.75,17.416666666666668,21.0,18.583333333333332
2022_14_PHI_NYG,2022,14,NYG,PHI,22,48,0,20.416666666666668,21.0,28.166666666666668,18.833333333333332
2022_14_TB_SF,2022,14,SF,TB,35,7,1,23.5,15.833333333333334,18.083333333333332,18.25
2022_15_ARI_DEN,2022,15,DEN,ARI,24,15,1,14.923076923076923,18.307692307692307,21.307692307692307,26.76923076923077
2022_15_ATL_NO,2022,15,NO,ATL,21,18,1,20.384615384615383,22.846153846153847,22.153846153846153,24.0
2022_15_BAL_CLE,2022,15,CLE,BAL,13,3,1,23.076923076923077,24.846153846153847,23.153846153846153,19.23076923076923
