game_id,season,week,home_team,away_team,home_score,away_score,home_win,home_team_avg_points_for,home_team_avg_points_against,away_team_avg_points_for,away_team_avg_points_against,home_recent_form,away_recent_form,home_field_advantage
2025_07_LA_JAX,2025,7,JAX,LA,7.0,35.0,0,23.166666666666668,20.0,23.333333333333332,18.333333333333332,22.6,25.2,1
2025_07_LV_KC,2025,7,KC,LV,31.0,0.0,1,25.833333333333332,20.666666666666668,17.166666666666668,24.833333333333332,26.8,16.6,1
2025_07_MIA_CLE,2025,7,CLE,MIA,31.0,6.0,1,13.666666666666666,24.333333333333332,22.333333333333332,29.0,13.2,25.2,1
2025_07_NE_TEN,2025,7,TEN,NE,13.0,31.0,0,13.833333333333334,26.833333333333332,25.0,20.0,14.2,27.4,1
2025_07_NO_CHI,2025,7,CHI,NO,26.0,14.0,1,25.2,28.2,18.5,26.666666666666668,25.2,19.6,1
2025_07_NYG_DEN,2025,7,DEN,NYG,33.0,32.0,1,21.666666666666668,15.833333333333334,20.166666666666668,24.0,22.0,23.0,1
2025_07_PHI_MIN,2025,7,MIN,PHI,22.0,28.0,0,24.6,19.4,23.666666666666668,23.833333333333332,24.6,23.6,1
2025_07_PIT_CIN,2025,7,CIN,PIT,33.0,31.0,1,17.166666666666668,30.5,23.8,21.4,17.2,23.8,1
2025_07_TB_DET,2025,7,DET,TB,24.0,9.0,1,31.833333333333332,23.666666666666668,27.5,25.166666666666668,35.6,28.4,1
2025_07_WAS_DAL,2025,7,DAL,WAS,44.0,22.0,1,29.666666666666668,30.666666666666668,26.333333333333332,21.0,31.6,27.4,1
2025_08_BUF_CAR,2025,8,CAR,BUF,9.0,40.0,0,20.714285714285715,21.714285714285715,27.833333333333332,22.833333333333332,22.6,25.2,1
2025_08_CHI_BAL,2025,8,BAL,CHI,30.0,16.0,1,24.0,32.333333333333336,25.333333333333332,25.833333333333332,20.8,25.6,1
2025_08_CLE_NE,2025,8,NE,CLE,32.0,13.0,1,25.857142857142858,19.0,16.142857142857142,21.714285714285715,27.0,16.0,1
2025_08_DAL_DEN,2025,8,DEN,DAL,44.0,24.0,1,23.285714285714285,18.142857142857142,31.714285714285715,29.428571428571427,23.0,32.4,1
2025_08_GB_PIT,2025,8,PIT,GB,25.0,35.0,0,25.0,23.333333333333332,26.333333333333332,20.833333333333332,23.2,26.2,1
2025_08_MIA_ATL,2025,8,ATL,MIA,10.0,34.0,0,18.333333333333332,20.0,20.0,29.285714285714285,18.0,21.0,1
2025_08_MIN_LAC,2025,8,LAC,MIN,37.0,10.0,1,21.571428571428573,23.285714285714285,24.166666666666668,20.833333333333332,20.8,23.6,1
2025_08_NYG_PHI,2025,8,PHI,NYG,38.0,20.0,1,24.285714285714285,23.571428571428573,21.857142857142858,25.285714285714285,25.2,22.0,1
2025_08_NYJ_CIN,2025,8,CIN,NYJ,38.0,39.0,0,19.428571428571427,30.571428571428573,18.428571428571427,26.142857142857142,17.6,17.4,1
2025_08_SF_HOU,2025,8,HOU,SF,26.0,15.0,1,21.166666666666668,14.666666666666666,20.714285714285715,19.714285714285715,23.6,20.4,1
2025_08_TB_NO,2025,8,NO,TB,3.0,23.0,0,17.857142857142858,26.571428571428573,24.857142857142858,25.0,18.2,26.2,1
2025_08_TEN_IND,2025,8,IND,TEN,38.0,14.0,1,33.142857142857146,20.0,13.714285714285714,27.428571428571427,34.0,13.0,1
2025_08_WAS_KC,2025,8,KC,WAS,28.0,7.0,1,26.571428571428573,17.714285714285715,25.714285714285715,24.285714285714285,29.6,28.2,1
2025_09_ARI_DAL,2025,9,DAL,ARI,17.0,27.0,0,30.75,31.25,21.857142857142858,22.0,34.4,21.2,1
2025_09_ATL_NE,2025,9,NE,ATL,24.0,23.0,1,26.625,18.25,17.142857142857142,22.0,30.6,15.6,1
2025_09_BAL_MIA,2025,9,MIA,BAL,6.0,28.0,0,21.75,26.875,24.857142857142858,30.0,23.6,18.6,1
2025_09_CAR_GB,2025,9,GB,CAR,13.0,16.0,0,27.571428571428573,21.428571428571427,19.25,24.0,27.8,18.4,1
2025_09_CHI_CIN,2025,9,CIN,CHI,42.0,47.0,0,21.75,31.625,24.0,26.428571428571427,23.2,24.6,1
2025_09_DEN_HOU,2025,9,HOU,DEN,15.0,18.0,0,21.857142857142858,14.714285714285714,25.875,18.875,25.0,27.8,1
2025_09_IND_PIT,2025,9,PIT,IND,27.0,20.0,1,25.0,25.0,33.75,19.25,24.8,33.4,1
2025_09_JAX_LV,2025,9,LV,JAX,29.0,30.0,0,14.714285714285714,25.714285714285715,20.857142857142858,22.142857142857142,14.8,18.6,1
2025_09_KC_BUF,2025,9,BUF,KC,28.0,21.0,1,29.571428571428573,20.857142857142858,26.75,16.375,27.2,30.8,1
2025_09_LAC_TEN,2025,9,TEN,LAC,20.0,27.0,0,13.75,28.75,23.5,21.625,11.8,23.6,1
2025_09_MIN_DET,2025,9,DET,MIN,24.0,27.0,0,30.714285714285715,21.571428571428573,22.142857142857142,23.142857142857142,30.0,24.4,1
